case_identifier,pp_primary16_2016,pp_demprim16_2016,pp_repprim16_2016,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,race_other_baseline,educ_baseline,child18_baseline,child18num_baseline,job_baseline,employstat2_baseline,industry_baseline,occupationcat_baseline,presvote16post_2016
36576242,2,,1,34,7865,1945,2,1,,2,2,,,1,44,12,2
36576491,3,,,34,7660,1939,2,1,,2,2,,,5,,12,1
36576614,2,,3,10,19702,1947,2,1,,2,2,,,6,,8,2
36576911,1,1,,30,59327,1964,2,1,,5,1,2,,7,,11,2
36577097,4,,,42,16057,1966,2,1,,2,1,1,,1,72,3,
36577481,1,2,,6,95540,1971,2,1,,2,1,1,,1,92,6,1
36577553,3,,,47,38451,1955,1,1,,2,2,,,2,31,12,1
36577955,2,,1,34,7950,1966,2,1,,2,1,1,,1,44,4,2
36578204,1,1,,1,35064,1971,2,2,,6,2,,,1,61,1,1
36578441,1,2,,26,48124,1946,1,1,,2,2,,,5,,8,4
36578570,3,,,24,21811,1977,2,1,,2,2,,,1,81,12,4
36580766,1,4,,24,20903,1971,1,4,,5,2,,,1,92,12,1
36580946,1,1,,51,22182,1954,1,3,,5,2,,,1,92,3,1
36581408,3,,,18,46307,1943,2,1,,2,2,,,5,,6,1
36581756,2,,1,28,39572,1959,2,1,,2,2,,,1,31,12,2
36581906,2,,1,22,70087,1959,1,1,,2,2,,,1,44,4,2
36582131,3,,,20,67401,1945,2,1,,2,2,,,5,,8,2
36582395,2,,1,55,53095,1955,2,1,,2,2,,,1,81,6,1
36582539,3,,,18,47137,1971,2,1,,5,2,,,1,31,3,2
36584762,2,,4,34,8807,1966,1,1,,3,1,2,,1,31,1,2
36585506,3,,,36,13324,1952,1,1,,2,2,,,4,,11,
36585635,1,4,,26,48603,1943,2,1,,2,2,,,5,,8,2
36585854,3,,,36,12883,1964,2,1,,3,2,,,7,,9,
36586916,2,,1,42,18447,1941,2,1,,2,2,,,7,,9,2
36588314,2,,1,12,34684,1935,2,1,,2,2,,,5,,8,2
36588455,3,,,36,11106,1970,2,2,,3,1,2,,6,,9,
36589043,1,1,,41,97351,1949,2,1,,2,2,,,1,61,12,1
36589328,2,,5,51,23060,1948,1,1,,2,2,,,5,,8,2
36590036,3,,,21,42266,1942,1,1,,2,2,,,5,,11,2
36590798,1,1,,48,76010,1964,2,2,,5,1,3,1,,61,3,1
36591383,4,,,42,15015,1938,2,1,,2,2,,,5,,8,2
36591815,1,1,,36,18302,1940,2,1,,2,2,,,5,,8,1
36592517,2,,1,34,8840,1961,2,1,,2,,,1,,,3,2
36592529,3,,,45,28215,1955,2,2,,5,2,,,1,52,1,1
36592787,1,1,,26,48326,1958,2,2,,4,2,,,5,,,1
36593387,3,,,9,6525,1954,2,1,,4,2,,,1,62,1,2
36594335,3,,,40,74012,1947,2,1,,2,2,,,5,,8,1
36594617,1,2,,34,7866,1936,2,1,,2,2,,,5,,6,2
36596510,3,,,39,45875,1956,2,1,,2,2,,,4,,11,2
36596540,2,,1,13,30120,1953,2,1,,2,2,,,6,,12,2
36596888,1,4,,18,47804,1951,1,1,,2,2,,,2,81,5,2
36597035,3,,,4,86001,1970,2,1,,6,2,,1,,,12,1
36600833,2,,1,47,37771,1949,2,1,,2,2,,,5,,6,2
36601079,1,1,,37,27604,1957,2,2,,3,1,1,,2,44,3,1
36601790,3,,,1,35971,1951,2,1,,1,2,,,7,,9,1
36602321,1,1,,48,77449,1951,1,2,,5,2,,,5,,3,1
36602846,3,,,19,50158,1929,2,1,,2,2,,,5,,6,1
36603131,3,,,26,48001,1955,2,1,,2,2,,,1,44,12,
36606134,1,1,,13,30187,1973,2,2,,5,2,,,1,62,1,1
36606209,2,,2,40,73110,1953,2,1,,2,2,,,1,52,6,2
36607097,2,,1,47,38473,1964,2,1,,2,2,,,2,31,12,2
36607475,1,1,,19,51053,1968,2,1,,3,2,,,2,81,4,1
36608195,3,,,23,4414,1982,2,1,,2,1,1,,6,,9,1
36609131,3,,,48,76137,1947,1,1,,1,2,,,2,48,8,2
36609977,4,,,40,74824,1956,2,1,,2,2,,,3,81,5,2
36610436,3,,,13,31907,1984,2,2,,5,2,,,1,92,7,
36612053,3,,,48,79403,1969,2,1,,2,2,,,7,,9,2
36612707,2,,4,12,33579,1944,1,1,,2,2,,,5,,8,
36613448,3,,,27,56308,1970,1,1,,6,1,3,,1,81,2,2
36613598,3,,,44,2917,1959,2,1,,5,2,,,1,62,1,2
36613625,2,,1,6,91024,1960,1,1,,2,2,,,3,23,12,2
36614192,3,,,49,84094,1971,2,1,,5,1,6,,7,,9,6
36614534,2,,1,36,11729,1939,2,1,,2,2,,,5,,8,2
36614549,3,,,42,17325,1958,1,2,,2,1,1,,1,31,12,1
36617396,3,,,29,65649,1966,2,1,,2,2,,,3,23,5,1
36617807,3,,,19,50616,1944,2,1,,2,2,,,5,,6,2
36618269,2,,1,22,70364,1943,2,1,,2,2,,,5,,8,2
36621077,2,,4,1,36010,1971,2,3,,3,1,2,,7,,9,3
36622022,2,,3,37,27521,1974,2,5,,6,1,1,1,,,1,2
36622091,1,1,,17,60173,1962,2,1,,2,2,,,6,,8,1
36622583,1,2,,42,16410,1964,2,1,,2,1,1,,7,,9,2
36623420,3,,,17,60137,1964,1,1,,5,2,,,1,81,3,2
36624698,3,,,39,45424,1984,1,1,,2,1,2,,2,48,12,
36624716,2,,1,36,13021,1956,1,1,,2,1,1,,1,42,4,2
36625142,2,,1,42,16509,1963,2,1,,2,2,,,4,,11,2
36625850,1,1,,6,95842,1946,2,6,,3,2,,,5,,6,
36626570,2,,1,55,54880,1941,2,1,,2,2,,,2,44,12,2
36627059,2,,3,55,53545,1968,1,1,,2,2,,,1,23,6,2
36628934,3,,,20,66609,1963,2,1,,6,2,,,1,92,3,1
36631775,3,,,26,48060,1971,2,1,,2,2,,,4,,9,6
36632288,2,,1,17,60005,1964,2,1,,3,2,,,1,44,3,2
36634193,1,1,,53,98685,1945,2,1,,2,2,,,5,,8,1
36634673,1,1,,5,72904,1962,2,2,,2,1,,3,,,4,1
36635405,4,,,23,4427,1939,2,1,,2,2,,,6,,9,2
36635420,3,,,54,26104,1970,1,6,,4,2,,,4,,1,1
36635732,2,,1,12,33983,1965,2,1,,3,2,,,6,,11,2
36635828,1,2,,6,95366,1954,2,1,,2,2,,,2,61,6,1
36636170,2,,1,55,53023,1938,2,1,,2,2,,,5,,9,2
36637094,2,,5,23,4005,1956,2,3,,2,2,,,3,51,5,2
36638027,2,,2,24,21114,1968,1,1,,5,1,1,,1,92,3,7
36639704,2,,6,12,33012,1972,1,3,,5,2,,,1,71,1,2
36639932,1,1,,23,4743,1945,1,1,,2,2,,,5,,8,1
36641630,1,1,,55,53218,1969,2,6,,2,2,,,1,44,3,1
36642608,2,,1,16,83301,1958,1,1,,6,1,1,,1,48,2,
36643226,2,,3,39,43068,1970,2,1,,2,1,,,2,44,4,2
36643610,2,,1,37,28117,1958,1,1,,3,1,2,,1,31,1,2
36643961,1,1,,4,85048,1956,1,3,,6,2,,,5,,8,1
36644129,1,1,,12,34953,1956,2,1,,2,2,,,5,,8,1
36645368,1,1,,36,11221,1954,2,2,,2,2,,,6,,11,1
36646865,3,,,15,96825,1972,2,4,,5,1,1,,3,44,5,3
36647351,3,,,11,20018,1956,2,2,,6,2,,,1,62,1,1
36647546,2,,1,26,49448,1954,2,1,,2,2,,,1,81,3,2
