case_identifier,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,educ_baseline,presvote16post_2016
6653945,44,2816,1948,1,1,6,2
6654029,6,93420,1944,1,1,5,1
6655043,33,3054,1963,1,1,3,1
6657566,48,78248,1982,1,3,5,1
6657917,51,20112,1975,1,1,6,2
6660812,12,34787,1946,1,1,4,2
6661295,48,75028,1974,1,3,6,2
6661598,48,78759,1962,1,1,5,2
6664091,29,65203,1962,1,3,5,2
6664313,24,21236,1956,2,1,6,2
6664610,18,46755,1961,2,1,3,2
6665168,12,23504,1978,1,1,5,1
6665867,42,15642,1953,2,1,5,2
6666014,13,30097,1969,1,1,3,2
6666422,17,61462,1970,1,1,5,2
6666698,19,52053,1940,1,1,1,2
6667436,26,48640,1963,1,1,6,2
6672815,39,44130,1989,1,1,5,2
6675608,55,53186,1968,1,7,6,2
6675647,12,32526,1962,1,6,5,1
6676505,51,22911,1951,2,1,5,1
6677243,51,23666,1976,2,1,3,3
6679358,12,33629,1955,1,1,5,2
6680783,4,86440,1940,1,1,2,2
6684314,12,34207,1944,2,1,6,1
6687521,40,74107,1979,1,5,3,1
6687866,26,49684,1948,1,1,6,1
6688787,6,92692,1949,2,1,5,2
6693383,4,85396,1963,1,1,6,2
6701261,32,89117,1953,2,3,4,1
6705101,18,47112,1946,1,1,2,2
6707144,36,14425,1963,1,1,3,2
6707249,13,30047,1954,1,1,3,2
6708665,9,6107,1964,2,7,2,2
6709580,42,18252,1950,1,,2,1
6710732,35,88062,1950,1,1,5,1
6712967,55,53403,1957,2,1,5,2
6714713,48,78624,1953,1,1,3,1
6714797,8,80424,1953,2,1,6,2
6715433,19,52761,1956,1,1,6,2
6716450,27,56345,1953,1,1,4,2
6718862,12,32563,1949,1,1,6,2
6723134,8,80525,1950,2,1,2,1
6723605,40,73120,1953,1,2,3,1
6727082,42,19606,1955,1,5,3,2
6728372,18,46320,1951,1,2,2,2
6729515,42,17543,1963,1,1,4,2
6733367,12,33014,1931,1,1,2,1
6735422,53,98422,1950,2,1,3,1
6735710,13,31569,1961,1,1,3,2
6736319,4,85749,1950,1,1,5,1
6737153,48,77845,1954,2,1,6,2
6737678,13,30252,1951,1,1,3,2
6737720,42,15146,1985,1,1,6,3
6738503,17,61801,1967,1,7,6,6
6740108,4,86442,1956,2,1,4,
6741080,55,53202,1987,2,7,3,1
6741425,47,37110,1955,1,1,6,2
6742754,27,55423,1952,2,1,2,2
6744101,42,15223,1957,1,8,5,3
6744134,42,18960,1953,1,1,5,2
6744299,42,19038,1939,1,1,2,1
6746738,55,54913,1950,2,1,3,2
6747674,6,91709,1965,2,1,3,2
6752528,25,2760,1969,2,1,4,1
6753560,13,30643,1961,1,1,3,2
6758780,37,28304,1976,1,1,5,2
6761438,13,30183,1974,1,1,3,2
6761912,25,1702,1945,2,1,6,1
6762659,37,27217,1946,2,1,2,2
6763586,23,4901,1930,1,1,2,1
6765341,48,76904,1941,1,1,3,
6765902,6,92129,1985,2,1,5,2
6766709,5,72116,1951,2,1,6,1
6767135,12,34476,1946,1,1,5,
6767216,44,2906,1953,2,1,5,1
6767969,4,85381,1958,1,1,5,6
6768959,48,78736,1940,2,1,5,1
6774296,12,33472,1950,1,1,6,2
6775691,6,91910,1936,1,1,5,1
6776069,6,90068,1965,1,1,5,1
6776789,6,94603,1953,1,2,3,1
6782513,51,22314,1987,2,1,5,1
6789332,19,50619,1954,2,1,2,
6791075,6,94552,1967,1,1,5,4
6791708,51,23234,1943,1,1,2,2
6792740,42,17062,1965,1,1,6,2
6793784,50,5454,1981,2,1,6,1
6794795,37,27705,1973,1,7,6,1
6794855,8,80923,1943,2,1,6,2
6795356,20,67738,1970,1,1,5,1
6796454,12,32615,1951,2,1,5,2
6798602,47,37210,1961,1,1,3,2
6807464,12,33716,1954,1,1,3,2
6807473,47,37709,1957,1,1,5,1
6809582,29,65109,1951,1,1,5,1
6811052,51,22180,1968,1,2,6,1
6811205,29,63670,1946,1,1,2,2
6811466,13,30248,1953,1,1,4,1
6811826,48,78232,1970,1,1,6,2
6816686,11,20003,1963,1,1,3,3
6817205,24,21108,1951,1,1,3,2
6817520,26,48014,1948,2,1,5,2
6818873,53,98660,1970,1,1,5,1
6823679,13,30080,1969,1,1,5,
6824687,36,11793,1955,1,1,3,2
6828023,16,83651,1951,1,1,4,2
6830972,53,98092,1972,1,1,4,2
6834113,24,21220,1950,2,1,3,2
6837512,36,12304,1957,2,1,3,2
6839399,13,30328,1957,1,1,6,1
6839546,6,94116,1962,1,1,4,1
6842747,53,98034,1954,1,1,4,1
6843632,48,76040,1952,1,7,5,2
6843947,6,92026,1959,1,1,5,1
6845414,41,97222,1944,1,1,6,1
6851144,33,3861,1953,2,1,6,1
6851195,26,48911,1951,2,3,3,1
6852332,55,53153,1951,2,1,3,2
6854501,42,18466,1951,2,1,2,1
6858437,26,48314,1961,2,1,5,2
6858470,6,94949,1961,2,3,4,2
6859208,8,80247,1972,2,1,6,1
6859382,37,27312,1978,1,1,5,1
6859421,17,60543,1966,1,1,5,2
6867077,12,34609,1934,2,1,5,1
6869258,9,6375,1959,2,1,6,1
6871283,48,75156,1959,1,1,6,1
6874790,48,78370,1958,1,3,2,2
6883553,37,27520,1967,1,1,5,1
6884540,53,99003,1953,2,1,2,1
6885359,26,48375,1981,1,1,5,1
6888440,26,49508,1955,2,1,5,2
6889742,13,30533,1965,1,1,2,3
6889964,12,32043,1948,2,1,5,1
6893948,49,84037,1978,2,1,5,1
6898460,33,3813,1950,1,1,3,1
6902309,12,33458,1960,1,1,6,1
6904286,45,29414,1957,1,1,3,2
6906398,6,92069,1954,1,1,4,2
6907652,47,38201,1954,2,2,2,1
6910406,53,98375,1952,2,1,3,2
6910556,29,63126,1978,1,1,5,1
6911897,47,37771,1965,1,1,5,2
6915224,54,25304,1958,1,1,6,1
6916046,8,80031,1954,1,1,3,1
6917012,12,34983,1959,1,1,5,2
6918044,37,28803,1962,1,1,5,1
6918683,49,84115,1963,1,1,5,1
6918935,51,23471,1961,1,1,3,2
6919169,53,98033,1943,1,1,5,2
6921341,55,53717,1966,1,1,6,1
6923450,53,98125,1961,2,1,3,1
6923495,4,85373,1947,2,1,5,1
6924236,18,46723,1955,1,1,5,2
6924272,12,33714,1951,1,1,5,2
6925619,18,46254,1958,1,1,5,2
6934139,13,30102,1972,1,1,6,6
6935420,51,22657,1948,1,1,4,2
6936440,12,33544,1964,1,1,4,2
6938666,48,77077,1969,1,1,5,2
6940679,36,11370,1938,1,1,2,2
6940712,17,61610,1941,2,1,2,1
6942347,12,34293,1977,1,1,5,1
6945584,12,32765,1964,1,1,6,2
6952640,8,80919,1941,2,1,4,2
6955115,37,28739,1955,2,1,3,1
6956033,6,95401,1948,2,1,4,1
6956480,42,17036,1983,2,1,5,
6956483,25,2356,1969,2,1,6,1
6957329,13,30064,1947,2,1,2,1
6962816,42,18702,1949,2,1,5,2
6968234,9,6110,1954,1,1,3,1
6973481,29,65793,1952,1,1,3,2
6974507,1,35768,1971,1,1,6,2
6980339,39,45039,1960,1,1,3,6
6981227,39,44905,1930,2,1,2,1
6983129,6,95128,1964,1,1,6,1
6987332,28,39553,1946,1,1,2,2
6987941,6,94805,1966,2,1,6,1
6988349,8,80020,1960,1,1,5,2
6988958,12,34212,1955,1,1,5,2
6989135,6,84098,1960,2,1,6,1
6991124,17,60446,1961,2,1,2,1
6992663,20,66213,1963,1,1,5,2
6993758,16,83702,1968,1,2,2,2
6994745,40,74136,1973,1,1,3,2
6995093,42,18708,1934,1,1,6,1
6997247,12,33126,1954,1,3,5,2
6999632,8,80016,1951,1,1,2,2
7004435,6,90025,1977,1,1,6,1
7005677,38,58048,1936,2,1,3,1
7007606,18,47041,1966,1,1,5,1
7012856,6,92008,1962,1,1,5,2
7013255,8,80237,1947,2,1,3,1
7013351,17,60915,1977,2,1,5,1
7015448,6,95452,1943,1,1,5,1
7016411,27,55416,1974,1,1,3,1
7020659,53,98012,1961,1,1,6,1
7021016,6,95688,1958,1,1,2,2
7021574,53,98166,1948,2,1,2,1
7021901,4,85755,1965,1,1,5,2
7022570,12,32955,1962,2,1,5,1
7023680,48,78413,1965,2,1,2,3
7023821,42,19073,1948,1,1,6,1
7027343,6,91381,1961,1,1,3,2
7028234,17,62234,1950,1,1,2,2
7034960,27,44333,1973,2,1,6,2
7038818,24,21286,1950,2,1,3,1
7040477,8,80260,1940,2,1,2,2
7045745,42,18104,1953,2,1,6,1
7046522,34,8530,1960,1,2,3,1
7046978,29,63049,1949,2,1,2,2
7047464,12,33993,1949,2,1,5,1
7048304,51,23188,1958,1,1,4,1
7049603,53,98857,1943,2,1,3,2
7050185,41,97306,1936,2,1,2,1
7050719,6,90731,1967,2,1,5,1
7053953,12,33904,1953,1,1,6,1
7056146,17,60525,1956,2,1,2,1
7059575,48,77566,1963,1,1,5,2
7059995,55,53227,1967,1,1,5,2
7060040,47,38103,1973,1,1,6,1
7060802,24,21842,1948,1,1,4,1
7061810,6,95118,1953,2,3,4,2
7062380,48,78640,1972,1,1,6,1
7062632,39,44452,1978,2,1,2,1
7064186,17,60525,1959,1,1,4,
7065026,26,48192,1956,1,1,3,1
7067105,6,92606,1963,1,6,5,1
7068722,26,49036,1955,2,1,3,1
7068797,22,70815,1973,1,1,5,1
7069418,17,60462,1958,1,1,5,2
7069802,49,84037,1968,1,1,3,3
7070447,36,12020,1945,1,1,4,1
7071272,6,90713,1955,2,1,5,1
7071353,45,29070,1960,1,2,5,4
7071629,25,2127,1987,1,1,6,1
7072997,4,85015,1955,1,1,3,1
7074968,6,92119,1942,1,1,6,2
7076843,26,49514,1971,2,1,5,2
7078433,25,1890,1957,1,1,2,2
7078880,39,45429,1957,2,1,3,1
7079435,42,15221,1939,2,1,5,1
7081850,21,42718,1986,1,1,5,1
7082558,27,55927,1962,1,1,3,1
7084649,6,94502,1973,1,1,5,1
7085711,49,84109,1935,1,1,5,1
7086050,18,47203,1940,1,1,3,2
7086215,45,29927,1956,2,1,5,2
7088777,25,1752,1958,2,1,5,1
7088897,20,67156,1962,1,1,2,2
7089242,12,33073,1952,1,1,2,2
7089452,12,34787,1974,1,3,5,2
7091771,6,95670,1952,2,1,5,2
7093511,6,95401,1954,2,1,3,1
7094159,17,60062,1958,1,1,5,1
7095569,9,6090,1949,1,7,5,6
7096844,42,16341,1963,1,1,2,2
